Node,Axis,Poly_Degree,R_squared,Polynomial_Expression,Coefficients_high_to_low
A,x,3,1.00000000,"","0, 0, -0, -0"
A,y,3,0.99840741,"-0.00246109·L^3 + 0.00396181·L^2 - 0.00790267·L + 9.96871e-05","-0.0024610927, 0.0039618076, -0.0079026712, 9.9687101e-05"
B,x,3,1.00000000,"","0, 0, -0, -0"
B,y,3,-0.77777778,"94.05","3.7612343e-13, -7.2695515e-13, 4.2522495e-13, 94.05"
C,x,3,0.99993470,"0.00117208·L^3 - 0.00199017·L^2 - 0.0108666·L + 94.0499","0.0011720797, -0.0019901657, -0.010866587, 94.049885"
C,y,3,0.99873041,"-0.00700632·L^3 + 0.0109358·L^2 - 0.0385211·L + 20.9","-0.0070063212, 0.010935837, -0.038521116, 20.899988"
D,x,3,0.99954754,"0.00295659·L^3 - 0.00476646·L^2 + 0.0213126·L + 94.0499","0.0029565885, -0.0047664587, 0.021312582, 94.049897"
D,y,3,0.99886610,"-0.00694314·L^3 + 0.0109013·L^2 - 0.0366231·L + 94.05","-0.0069431436, 0.010901297, -0.036623106, 94.050003"
E,x,3,0.99818743,"-0.00101049·L^3 + 0.00301548·L^2 + 0.0318229·L + 173.85","-0.001010487, 0.0030154755, 0.031822901, 173.85018"
E,y,3,0.99948696,"-0.0129066·L^3 + 0.020198·L^2 - 0.0996208·L + 94.05","-0.012906634, 0.020197992, -0.099620791, 94.049965"
F,x,3,0.98637618,"0.00745094·L^3 - 0.0161364·L^2 - 0.000610316·L + 173.848","0.0074509413, -0.016136398, -0.00061031595, 173.84832"
F,y,3,0.99946644,"-0.0126277·L^3 + 0.0196639·L^2 - 0.101309·L + 38.63","-0.012627709, 0.019663906, -0.10130872, 38.629967"
G,x,3,0.99981673,"-0.00191124·L^3 + 0.00549877·L^2 + 0.0381573·L + 240.351","-0.0019112362, 0.0054987743, 0.038157329, 240.35126"
G,y,3,0.99971674,"-0.0177401·L^3 + 0.0277864·L^2 - 0.178597·L + 94.05","-0.017740122, 0.027786396, -0.17859727, 94.049965"
H,x,3,-1.22222222,"-1.66565e-12·L^2 + 240.35","8.6180247e-13, -1.6656546e-12, 9.7430759e-13, 240.35"
H,y,3,0.99971359,"-0.018514·L^3 + 0.0291687·L^2 - 0.181245·L + 53.4101","-0.018513959, 0.02916868, -0.18124489, 53.410085"
I,x,3,0.99937944,"0.0127639·L^3 - 0.0190223·L^2 + 0.0550055·L + 293.549","0.012763894, -0.019022294, 0.055005543, 293.54926"
I,y,3,0.99981401,"-0.0208797·L^3 + 0.032732·L^2 - 0.256333·L + 94.05","-0.020879654, 0.032731955, -0.25633311, 94.049964"
